"","Disaster_Type","TDWG_level1","total_cost_global","1980-1999","2000-2019","ROC","ROC2","total"
"1","BiologicalInvasions","Africa",1207965420160.58,2283321560.40875,12176225504.1996,433.268100092738,5.33268100092738,14459547064.6084
"2","BiologicalInvasions","Asia-Temperate",1207965420160.58,83040791036.3913,50167771586.8899,-39.5865923713267,0.604134076286733,133208562623.281
"3","BiologicalInvasions","Asia-Tropical",1207965420160.58,2220139011.67882,178537918387.349,7941.74501903564,80.4174501903564,180758057399.027
"4","BiologicalInvasions","Europe",1207965420160.58,6575640397.53032,52689660916.6273,701.285619822162,8.01285619822162,59265301314.1576
"5","BiologicalInvasions","Northern America",1207965420160.58,32779720872.6445,458678061993.154,1299.27384914352,13.9927384914352,491457782865.799
"6","BiologicalInvasions","Oceania",1207965420160.58,5628496004.77338,146024784131.488,2494.38372182637,25.9438372182637,151653280136.261
"7","BiologicalInvasions","Southern America",1207965420160.58,246169692.117617,111918881160.701,45364.1187539966,454.641187539966,112165050852.819
"8","Drought","Africa",244105863053.48,4187819697.32433,3945571040.92474,-5.78460091188664,0.942153990881134,8133390738.24906
"9","Drought","Asia-Temperate",244105863053.48,26590112961.3581,25113727944.5661,-5.5523833950518,0.944476166049482,51703840905.9242
"10","Drought","Asia-Tropical",244105863053.48,7511023319.77519,18680498728.6117,148.707771675122,2.48707771675122,26191522048.3869
"11","Drought","Europe",244105863053.48,34996295913.9877,10095772977.8476,-71.1518813229248,0.288481186770752,45092068891.8353
"12","Drought","Northern America",244105863053.48,8510122328.72459,51576304719.8417,506.058323577253,6.06058323577253,60086427048.5663
"13","Drought","Oceania",244105863053.48,21006533304.797,5099701820.08258,-75.7232583497343,0.242767416502657,26106235124.8796
"14","Drought","Southern America",244105863053.48,8567570516.22947,15278068686.2406,78.3243996334721,1.78324399633472,23845639202.47
"15","Earthquake","Africa",1139430908041.75,18824499242.7627,8426544737.47878,-55.2362874103093,0.447637125896907,27251043980.2415
"16","Earthquake","Asia-Temperate",1139430908041.75,273762416800.118,457205500700.852,67.0081328346366,1.67008132834637,730967917500.97
"17","Earthquake","Asia-Tropical",1139430908041.75,22993635750.4993,46081255878.152,100.408740827998,2.00408740827998,69074891628.6514
"18","Earthquake","Europe",1139430908041.75,85894158380.514,31302899247.2335,-63.5564282397872,0.364435717602128,117197057627.748
"19","Earthquake","Northern America",1139430908041.75,65318377888.4687,4476566839.47715,-93.1465431564744,0.0685345684352557,69794944727.9459
"20","Earthquake","Oceania",1139430908041.75,2799594395.52295,32912672712.607,1075.62289613239,11.7562289613239,35712267108.13
"21","Earthquake","Southern America",1139430908041.75,25732960861.4731,63699824606.5953,147.541761515542,2.47541761515542,89432785468.0684
"22","Extreme temperature","Africa",84543808713.2972,93098729.5108107,1215901.47406117,-98.6939655562969,0.013060344437031,94314630.9848719
