"","Disaster_Type","TDWG_level1","Period","cost","total_cost_global","rank"
"1","BiologicalInvasions","Africa","1980-1999",2283321560.40875,1207965420160.58,10
"2","BiologicalInvasions","Africa","2000-2019",12176225504.1996,1207965420160.58,2
"3","BiologicalInvasions","Asia-Temperate","1980-1999",83040791036.3913,1207965420160.58,7
"4","BiologicalInvasions","Asia-Temperate","2000-2019",50167771586.8899,1207965420160.58,8
"5","BiologicalInvasions","Asia-Tropical","1980-1999",2220139011.67882,1207965420160.58,11
"6","BiologicalInvasions","Asia-Tropical","2000-2019",178537918387.349,1207965420160.58,1
"7","BiologicalInvasions","Europe","1980-1999",6575640397.53032,1207965420160.58,12
"8","BiologicalInvasions","Europe","2000-2019",52689660916.6273,1207965420160.58,6
"9","BiologicalInvasions","Northern America","1980-1999",32779720872.6445,1207965420160.58,9
"10","BiologicalInvasions","Northern America","2000-2019",458678061993.154,1207965420160.58,2
"11","BiologicalInvasions","Oceania","1980-1999",5628496004.77338,1207965420160.58,7
"12","BiologicalInvasions","Oceania","2000-2019",146024784131.488,1207965420160.58,1
"13","BiologicalInvasions","Southern America","1980-1999",246169692.117617,1207965420160.58,18
"14","BiologicalInvasions","Southern America","2000-2019",111918881160.701,1207965420160.58,2
"15","Drought","Africa","1980-1999",4187819697.32433,244105863053.48,7
"16","Drought","Africa","2000-2019",3945571040.92474,244105863053.48,8
"17","Drought","Asia-Temperate","1980-1999",26590112961.3581,244105863053.48,10
"18","Drought","Asia-Temperate","2000-2019",25113727944.5661,244105863053.48,11
"19","Drought","Asia-Tropical","1980-1999",7511023319.77519,244105863053.48,10
"20","Drought","Asia-Tropical","2000-2019",18680498728.6117,244105863053.48,8
"21","Drought","Europe","1980-1999",34996295913.9877,244105863053.48,7
"22","Drought","Europe","2000-2019",10095772977.8476,244105863053.48,11
"23","Drought","Northern America","1980-1999",8510122328.72459,244105863053.48,12
"24","Drought","Northern America","2000-2019",51576304719.8417,244105863053.48,8
"25","Drought","Oceania","1980-1999",21006533304.797,244105863053.48,3
